id;title;restricted;customerId
1e29f6d0-c9f6-45e2-ab0b-c7fc94bb1649;executive Account;false;2fd91947-cb33-4a97-bf12-3e45c649c026
b73f302f-7e4e-416b-9d10-95bfff626e2a;Hat paradigm maximize;false;346cacf3-e1c7-4f3d-b613-ad541bc1191a
219fb2ce-0174-4f39-a361-4001585c3705;Metical index Islands;false;1c109b2b-39ec-4b4a-8962-03e2c6adae02
a9341e96-1b76-4607-8b1b-9818b2af26e0;purple Centralized Gloves;false;28287829-3d3c-43b7-a0e3-5dd9871aef72
2b3ac2e8-9485-492f-94c4-a7cc9a6a4cc9;Chips deposit orange;false;7e7dd3f8-724a-4d0a-bd84-73d4eb52034c
d321c605-c331-4dc6-a609-b64b970d3f11;Gorgeous;true;97aa7eed-aa1d-4c86-aa77-ee14e2ce826b
cb727703-d6e0-44fb-ad52-a3d08bb7baa2;Paradigm;true;dc38ff14-6c0e-4cd0-a34b-c9b877ab23d8
883c1c89-a916-4bba-b42a-bd40a22b471d;Re-contextualized withdrawal;true;1a2d7721-d09f-4c7c-a37f-469c3648db7f
98f26144-3119-41ca-9cfd-b8fe68ded6ec;Cotton;true;f4e8c992-14ec-4ede-9fc1-6884c92f4887
d8f2e1b4-198c-4a6d-a83b-ac6f7568f2db;solution-oriented sensor;false;07509884-f763-407f-a4e7-3aea677d98b9
